LGA_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
LGA36630,17,833,78,927,140,1923,180,2244,67,816,77,960,43,661,74,784,70,1224,141,1433,105,1357,191,1650,174,1711,199,2081,262,1792,187,2236,325,1840,195,2364,199,820,110,1130,139,143,27,307,1537,13124,1456,16111,11,811,66,890,71,1850,144,2066,22,759,73,854,30,648,60,737,62,1345,124,1529,84,1577,137,1800,175,1825,169,2170,237,1973,208,2421,240,1776,170,2187,214,686,94,995,240,134,31,407,1395,13390,1278,16071,31,1643,143,1820,209,3775,327,4309,86,1581,151,1816,77,1308,137,1523,133,2564,268,2962,189,2936,328,3454,348,3537,364,4249,497,3768,390,4663,564,3617,366,4548,417,1504,201,2129,381,280,54,715,2937,26517,2730,32186
LGA36660,12,929,62,1008,120,2151,134,2407,55,1046,70,1168,42,775,70,881,56,1377,128,1563,74,1501,124,1697,106,1916,166,2192,193,2108,195,2494,261,1964,179,2397,171,890,82,1149,137,166,32,336,1226,14817,1236,17285,9,924,56,984,46,2044,117,2208,18,927,48,993,14,739,53,807,32,1486,95,1617,76,1757,133,1962,133,2081,159,2374,191,2293,209,2688,206,1945,184,2339,264,928,102,1292,306,220,45,574,1297,15339,1194,17831,24,1853,119,1999,164,4198,248,4614,72,1972,114,2156,58,1513,117,1685,86,2863,229,3175,151,3255,255,3657,239,3998,326,4560,386,4400,400,5186,465,3908,366,4735,438,1818,178,2441,444,384,76,902,2527,30162,2430,35110
LGA36720,118,7443,420,7980,904,17534,943,19387,334,8099,485,8919,222,6858,558,7636,338,13550,1114,15006,422,16056,1271,17752,612,17313,1344,19269,986,15968,1247,18202,1431,13686,1113,16222,1392,6641,607,8634,1212,1466,280,2964,7970,124613,9382,141965,80,7149,452,7675,417,17023,892,18338,180,8152,448,8786,157,6978,545,7683,264,14876,1045,16190,458,17751,1123,19329,733,19820,1303,21851,1032,18174,1270,20471,1209,15255,1183,17643,1897,7062,726,9692,2455,1821,465,4749,8891,134070,9447,152403,193,14591,868,15659,1324,34560,1838,37720,514,16252,930,17698,381,13840,1101,15316,603,28428,2167,31195,882,33801,2395,37079,1348,37133,2644,41119,2024,34137,2514,38678,2637,28939,2293,33866,3290,13705,1335,18330,3669,3292,749,7706,16853,258683,18833,294367
LGA36820,11,611,62,687,53,1463,132,1647,22,642,68,735,19,445,61,525,26,850,92,974,44,1009,110,1165,57,1387,164,1613,124,1631,193,1947,164,1463,158,1791,136,660,75,872,95,132,31,259,753,10309,1148,12214,0,576,64,643,23,1388,117,1534,7,632,42,682,10,432,52,501,33,975,98,1100,46,1180,119,1345,92,1551,169,1807,107,1753,175,2033,122,1419,173,1715,168,623,88,876,157,173,38,366,774,10704,1135,12617,8,1192,127,1327,76,2855,249,3178,33,1280,105,1413,28,882,117,1025,57,1831,193,2076,92,2189,232,2513,151,2940,336,3422,230,3386,365,3989,292,2880,329,3505,304,1285,161,1755,247,307,72,622,1525,21017,2290,24827
LGA36910,79,4866,319,5259,554,9947,653,11154,229,4856,360,5445,154,4666,413,5232,239,8795,714,9752,282,8194,706,9185,462,8655,747,9859,557,8086,736,9373,751,6131,608,7493,731,2956,377,4069,539,646,165,1351,4575,67795,5800,78166,49,4697,307,5054,285,10202,632,11121,144,4719,358,5225,85,4527,331,4947,206,9173,668,10046,274,8953,622,9848,448,9459,708,10611,570,8830,709,10111,699,6918,700,8313,947,3451,475,4876,1144,906,404,2456,4852,71839,5921,82607,124,9563,623,10315,842,20152,1289,22277,373,9575,717,10668,237,9187,747,10175,449,17966,1384,19795,557,17147,1323,19030,905,18111,1449,20471,1129,16920,1444,19490,1448,13049,1310,15810,1684,6413,854,8947,1682,1554,569,3802,9427,139633,11719,160779
LGA36950,0,129,25,152,6,309,43,357,4,140,14,158,5,108,31,147,0,208,83,295,3,178,27,208,3,164,34,198,7,150,21,178,9,49,9,71,12,13,3,24,0,0,0,8,46,1450,288,1788,0,146,19,163,6,283,26,317,0,102,27,135,0,108,37,142,3,238,78,322,3,235,38,281,3,164,33,200,10,151,24,174,15,42,11,63,9,11,0,23,4,6,0,12,52,1486,286,1826,0,273,41,312,6,596,63,666,5,235,45,289,5,216,73,289,3,453,161,621,10,408,62,485,4,324,64,396,12,300,46,356,20,99,13,132,20,27,3,46,10,4,0,14,100,2934,580,3610
LGA36960,0,247,33,279,4,479,28,510,0,135,60,198,3,176,12,187,3,308,52,360,4,221,21,246,6,216,6,230,17,150,9,177,8,68,6,78,7,15,0,24,3,3,0,5,51,2020,221,2295,0,238,29,262,3,455,53,509,0,126,33,153,0,181,38,226,0,319,23,340,0,240,9,245,3,174,7,191,15,161,4,184,16,68,3,83,13,16,0,26,4,3,0,7,47,1976,201,2221,0,488,59,545,5,932,83,1017,0,258,93,350,0,361,50,406,7,628,68,699,4,458,25,492,8,397,16,422,24,310,17,353,20,131,8,165,23,29,0,51,8,3,0,6,100,3999,417,4514
LGA37010,107,6052,443,6596,627,11377,735,12745,243,6082,520,6847,148,7034,1021,8199,269,11976,1561,13808,344,10595,1200,12141,469,10406,1149,12021,661,8667,880,10207,809,5506,629,6950,636,2054,256,2940,368,423,96,890,4685,80166,8498,93352,73,5555,406,6038,299,11294,742,12333,116,5844,454,6414,104,6821,617,7538,242,12624,1055,13920,334,11438,919,12698,529,10975,956,12460,568,8924,811,10302,646,5582,583,6814,830,2321,322,3474,794,508,120,1417,4530,81893,6979,93402,180,11614,847,12635,924,22671,1477,25073,365,11925,972,13258,245,13849,1642,15741,514,24599,2618,27731,685,22033,2126,24836,993,21379,2101,24477,1224,17595,1691,20507,1455,11090,1217,13761,1463,4374,577,6417,1157,932,212,2305,9207,162061,15484,186757
LGA37300,0,182,22,208,4,304,31,340,3,90,6,104,0,108,16,127,3,319,33,355,0,338,45,380,3,285,37,332,4,174,27,201,0,37,6,50,5,0,0,7,0,0,0,0,25,1853,220,2097,0,143,16,163,0,301,24,323,0,106,11,118,3,83,10,93,4,310,33,355,0,283,37,318,6,237,31,274,0,96,17,111,6,26,5,38,3,0,0,5,0,0,0,0,24,1596,182,1806,5,328,40,370,3,610,52,667,3,200,16,221,0,190,24,221,9,633,70,710,0,618,75,695,12,526,69,608,4,276,38,316,6,65,17,84,8,4,0,9,0,3,0,3,55,3441,406,3905
LGA37310,12,1100,126,1237,118,2236,247,2599,47,945,115,1101,33,820,114,962,41,1794,282,2125,52,1779,289,2120,120,1880,315,2314,139,1627,259,2029,128,1280,214,1621,113,550,103,770,88,123,27,242,896,14144,2085,17128,11,1006,137,1159,46,2124,216,2392,17,886,103,1005,21,802,108,938,29,1777,216,2018,50,1839,236,2123,97,1825,269,2198,121,1522,253,1896,106,1132,195,1438,136,565,98,808,190,122,45,352,827,13609,1881,16322,26,2107,265,2389,170,4363,464,4992,60,1833,216,2112,51,1626,227,1898,70,3572,498,4137,100,3622,526,4249,220,3707,584,4507,264,3150,506,3923,232,2413,411,3055,253,1119,205,1577,273,241,75,599,1723,27748,3973,33444
LGA37340,13,938,109,1062,94,1820,235,2148,19,743,118,889,18,856,185,1064,33,2125,505,2663,35,1890,357,2286,79,1966,337,2382,121,1979,297,2395,151,1394,220,1762,120,476,71,665,68,90,24,176,747,14281,2462,17495,4,827,118,954,43,1737,170,1957,11,676,87,778,12,867,192,1076,30,2109,408,2544,47,1888,284,2221,82,1887,266,2231,116,1827,265,2203,90,1162,169,1418,133,438,67,636,130,93,36,263,692,13518,2071,16284,15,1769,230,2016,139,3555,411,4105,31,1423,214,1666,34,1723,383,2143,59,4239,912,5211,86,3783,642,4505,161,3854,608,4619,234,3804,558,4598,237,2556,383,3178,247,912,145,1304,199,183,63,440,1442,27799,4539,33778
LGA37400,0,32,7,37,0,57,4,59,0,19,4,24,0,17,3,20,0,56,6,67,0,58,3,56,3,68,4,75,5,89,6,98,3,71,15,84,12,29,3,46,8,3,4,20,27,508,57,590,0,29,0,33,0,51,3,56,0,24,0,27,0,31,0,38,0,60,9,65,5,52,3,57,0,76,8,88,0,63,12,75,4,51,6,67,4,26,4,27,4,3,3,15,19,462,56,538,0,62,9,68,0,109,4,116,0,44,3,50,0,50,5,55,0,113,13,130,5,105,6,112,3,146,10,160,5,154,22,175,7,120,26,155,9,54,6,73,10,8,5,32,53,970,110,1134
LGA37550,0,52,0,51,0,103,4,108,0,37,0,45,0,36,15,51,0,54,3,59,0,47,0,55,0,39,4,48,5,31,4,36,8,9,0,9,0,3,0,4,0,0,0,0,12,417,33,470,3,50,0,57,0,99,6,105,0,41,0,46,4,52,8,55,0,58,0,61,0,55,3,52,0,60,6,64,8,23,5,35,4,20,0,21,0,0,0,0,0,0,0,0,15,448,25,492,3,100,5,107,0,203,10,217,0,79,0,88,3,83,21,113,0,115,3,120,0,100,6,104,4,100,8,105,12,53,8,72,4,23,0,29,0,4,0,4,0,0,0,0,32,867,60,962
LGA37570,0,19,0,19,0,14,0,14,0,9,0,10,0,9,3,14,0,17,5,23,0,17,0,17,0,16,0,16,3,13,0,13,0,8,0,4,0,0,0,0,0,0,0,0,6,116,9,131,0,15,0,15,0,19,0,19,0,10,0,6,0,14,0,13,0,27,0,29,0,17,0,24,0,15,3,18,3,12,0,15,3,3,0,5,0,0,0,0,0,0,0,0,12,133,6,148,0,31,0,31,0,33,0,31,0,15,3,18,0,27,3,28,0,47,4,52,0,35,0,33,0,32,3,39,9,25,0,35,4,12,0,10,0,0,0,0,0,0,0,0,17,249,16,282
LGA37600,0,107,26,133,0,291,19,308,0,123,3,128,0,119,0,119,0,187,4,192,3,137,4,139,4,129,3,133,8,88,0,89,0,19,0,25,0,8,0,7,0,0,0,0,21,1204,56,1278,0,114,31,138,3,271,18,290,0,129,3,130,0,106,3,113,0,164,10,174,0,123,3,126,4,151,5,163,6,79,0,84,7,39,0,43,8,4,0,14,3,0,0,4,28,1184,72,1278,0,221,51,270,3,565,32,597,0,253,4,257,0,223,3,224,0,351,17,368,3,258,8,270,9,282,7,296,13,159,0,176,10,60,0,67,6,16,0,23,3,0,0,5,47,2382,129,2559
LGA39499,0,149,26,182,15,201,33,249,8,165,39,212,10,435,120,559,23,942,321,1288,27,619,315,964,47,648,271,975,82,811,251,1147,103,847,162,1120,28,164,38,225,14,8,3,19,361,4983,1593,6937,0,135,20,160,4,200,36,233,9,161,32,203,5,454,116,576,10,779,217,1005,25,357,137,514,31,507,153,688,88,962,179,1224,60,624,113,798,23,100,29,153,7,6,5,18,258,4285,1032,5572,0,285,47,339,23,397,72,489,16,324,69,408,14,890,231,1133,37,1718,537,2293,51,976,451,1485,85,1158,423,1663,172,1768,435,2373,161,1478,279,1916,52,262,64,381,20,13,7,44,622,9271,2618,12510
LGA39799,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,3,0,4,0,9,0,7,0,11,0,10,0,12,0,7,0,15,0,13,0,7,0,7,0,0,0,0,7,57,4,66,0,3,0,3,0,0,0,0,0,4,0,5,0,5,0,4,0,6,0,6,0,4,0,3,0,8,0,7,0,19,4,19,0,12,4,16,0,7,0,7,0,0,0,0,0,70,13,87,0,3,0,3,0,4,0,4,0,8,3,11,0,3,3,11,0,9,0,11,0,13,0,14,0,20,0,24,0,26,4,30,0,30,4,33,0,10,0,16,0,3,0,4,7,126,17,150
